ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
1196,1218,SP 5525+4.000,1217.81118164062,636.19,2015/04/02 21:17:36,2015/04/02 21:18:10,2015/04/02 21:18:43,2015/04/10 18:09:53,2015/04/10 18:10:38,1899/12/30 00:00:00,1899/12/30 00:00:00,-173156.399095394,-2118.21454359763,63.4945115996756,-173161.641282958,-2122.23446685933,59.2852509186708,-173152.077743546,-2114.79980311155,59.3381519423819,-173161.638728007,-2122.39072189278,56.3718106099572,-173151.986555133,-2114.86219915503,56.2991999345616,,,,,,,-173156.396631072,-2118.21289917555,63.4938282312457,-173161.638352973,-2122.22946448086,59.2864388067161,-173152.078206309,-2114.79843967618,59.3371185669841,-173161.638728007,-2122.39072189278,56.3718106099572,-173151.986555133,-2114.86219915503,56.2991999345616,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
1196,1218,SP 5525+4.000,2015/04/09 18:10:00,1217.811,1224.9,-3.2,-4.2,-3.2,-1.5,0,,0,0,0,-2.5,-1.5,-1.1,-0.4,-0.5,0,0,,,,,,,,,,-173161.6387,-2122.3907,56.3718,-173151.9866,-2114.8622,56.2992,,,,,,,0,0,0,0,0,0,0,,,-2.5,-1.5,-1.1,-0.4,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/04/10 10:29:00,1217.812,1224.9,-3.4,-4.4,-2.8,-1.7,-1.3,-4.2,0,0,0,-2.4,-1.6,-1.4,-0.5,-0.1,0,0,-173156.3963,-2118.2134,63.4916,-173161.6384,-2122.2297,59.2851,-173152.0787,-2114.7995,59.3374,-173161.6396,-2122.3911,56.3742,-173151.9866,-2114.8625,56.2991,,,,,,,0,0,0,0,0,0,0,,,-2.4,-1.6,-1.4,-0.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/04/11 15:31:00,1217.812,1224.9,-3.3,-4.7,-3,-1.9,-1.3,-4.2,0,0,0,-2.2,-1.4,-1.5,-0.6,-0.1,0,0,-173156.3963,-2118.2134,63.4916,-173161.6384,-2122.2297,59.2851,-173152.0787,-2114.7995,59.3374,-173161.6396,-2122.3911,56.3742,-173151.9866,-2114.8625,56.2991,,,,,,,0,0,0,0,0,0,0,,,-2.2,-1.4,-1.5,-0.6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/04/13 17:20:00,1217.812,1224.9,-3.4,-4.6,-2.8,-1.7,-1.3,-4.2,0,0,0,-2.4,-1.7,-1.4,-0.8,-0.1,0,0,-173156.3963,-2118.2134,63.4916,-173161.6384,-2122.2297,59.2851,-173152.0787,-2114.7995,59.3374,-173161.6396,-2122.3911,56.3742,-173151.9866,-2114.8625,56.2991,,,,,,,0,0,0,0,0,0,0,,,-2.4,-1.7,-1.4,-0.8,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/04/15 18:15:00,1217.812,1224.9,-3.5,-4.7,-3.1,-2,-1.3,-4.2,0,0,0,-2.5,-1.4,-1.7,-0.5,-0.1,0,0,-173156.3963,-2118.2134,63.4916,-173161.6384,-2122.2297,59.2851,-173152.0787,-2114.7995,59.3374,-173161.6396,-2122.3911,56.3742,-173151.9866,-2114.8625,56.2991,,,,,,,0,0,0,0,0,0,0,,,-2.5,-1.4,-1.7,-0.5,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/04/18 10:12:00,1217.812,1226.9,-3.6,-4.5,-3,-2.3,-1.3,-4.2,0,0,0,-2.6,-1.7,-1.6,-0.6,-0.4,0,0,-173156.3963,-2118.2134,63.4916,-173161.6384,-2122.2297,59.2851,-173152.0787,-2114.7995,59.3374,-173161.6396,-2122.3911,56.3742,-173151.9866,-2114.8625,56.2991,,,,,,,0,0,0,0,0,0,0,,,-2.6,-1.7,-1.6,-0.6,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/04/25 17:09:00,1217.812,1226.9,-3.4,-4.7,-2.7,-2,-1.3,-4.2,0,0,0,-2.4,-1.6,-1.4,-1,-0.1,0,0,-173156.3963,-2118.2134,63.4916,-173161.6384,-2122.2297,59.2851,-173152.0787,-2114.7995,59.3374,-173161.6396,-2122.3911,56.3742,-173151.9866,-2114.8625,56.2991,,,,,,,0,0,0,0,0,0,0,,,-2.4,-1.6,-1.4,-1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/05/04 14:59:00,1217.812,1226.9,-3.5,-4.8,-2.9,-1.9,,,0,0,0,-2.7,-1.7,-1.3,-0.8,-0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,-1.7,-1.3,-0.8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/05/11 15:36:00,1217.812,1226.9,-3.1,-4.6,-2.8,-2.1,,,0,0,0,-2.5,-1.5,-1.5,-0.9,-0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,-1.5,-1.5,-0.9,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/05/23 17:46:00,1217.812,1226.9,-3,-4.8,-3.1,-2.2,,,0,0,0,-2.5,-1.8,-1.4,-0.9,-0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,-1.8,-1.4,-0.9,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/06/06 16:56:00,1217.812,1226.9,-3.1,-5,-2.9,-1.9,,,0,0,0,-2.2,-1.7,-1.3,-0.6,-0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,-1.7,-1.3,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/06/20 17:37:00,1217.812,1226.9,-3.1,-4.9,-3,-1.8,,,0,0,0,-2.4,-2.1,-1.6,-0.5,-0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,-2.1,-1.6,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/07/04 19:25:00,1217.812,1226.9,-3,-4.8,-2.7,-2,,,0,0,0,-2.6,-2.5,-1.7,-0.9,-0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6,-2.5,-1.7,-0.9,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/07/18 19:23:00,1217.812,1226.9,-3.1,-4.7,-3,-1.8,,,0,0,0,-2.5,-2.5,-1.5,-0.9,-0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,-2.5,-1.5,-0.9,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/08/05 19:34:00,1217.812,1226.9,-2.8,-4.9,-2.8,-2.1,,,0,0,0,-2.7,-2.2,-1.8,-0.8,-0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,-2.2,-1.8,-0.8,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/08/20 10:33:00,1217.632,1226.9,-3,-5.1,-2.8,-1.9,,,0,0,0,-2.7,-2.8,-1.6,-1,-1,0,0,,,,-173161.6393,-2122.229,59.2866,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.7,-2.8,-1.6,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/08/27 11:24:00,1217.632,1226.9,-3.6,-4.9,-2.4,-2.1,,,0,0,0,-2.9,-2.9,-2,-1.2,-0.8,0,0,,,,-173161.6393,-2122.229,59.2866,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.9,-2.9,-2,-1.2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,1218,SP 5525+4.000,2015/09/03 16:10:00,1217.632,,-3.5,-5,-2.6,-2,,,0,0,0,-2.7,-3,-2.1,-1.4,-1.1,0,0,,,,-173161.6393,-2122.229,59.2866,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.7,-3,-2.1,-1.4,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
